Jenis_Kelamin,Usia,TB,BB,BMI,Kelas
0.0,0.33333333333333337,0.7173913043478262,0.29032258064516125,0.25536876634192274,2
0.0,0.21212121212121215,0.6739130434782612,0.3548387096774194,0.3505957078015244,2
1.0,0.1515151515151515,0.6304347826086958,0.25806451612903225,0.2686071660966528,2
0.0,0.36363636363636365,0.8260869565217392,0.33870967741935487,0.2471480712639048,2
0.0,0.24242424242424243,0.5869565217391308,0.4354838709677419,0.4985830401121901,0
0.0,0.2727272727272727,0.847826086956522,0.29032258064516125,0.18734368191552953,2
0.0,0.2727272727272727,0.6956521739130435,0.32258064516129037,0.3024497110793215,2
1.0,0.06060606060606061,0.23913043478260887,0.08064516129032262,0.28276911170362673,2
1.0,0.3939393939393939,0.6739130434782612,0.5322580645161291,0.5455610016112958,0
1.0,0.48484848484848486,0.7826086956521743,0.4354838709677419,0.3707862060023802,2
1.0,0.06060606060606061,0.19565217391304346,0.12903225806451613,0.38226936243560317,2
1.0,0.0,0.2608695652173916,0.08064516129032262,0.2687886809566534,2
1.0,0.3939393939393939,0.7173913043478262,0.6129032258064516,0.6014613011428699,3
1.0,0.787878787878788,0.5652173913043481,0.25806451612903225,0.3068573910845208,2
1.0,0.12121212121212122,0.6086956521739131,0.33870967741935487,0.3730355387500087,2
1.0,0.4242424242424242,0.6739130434782612,0.20967741935483875,0.19107864922989315,2
0.0,0.5151515151515151,0.8260869565217392,0.4354838709677419,0.34506095544535353,2
1.0,0.2727272727272727,0.6956521739130435,0.5322580645161291,0.530112058472353,0
1.0,0.21212121212121215,0.5652173913043481,0.25806451612903225,0.3068573910845208,2
1.0,0.24242424242424243,0.5217391304347827,0.12903225806451613,0.1790164901524791,2
1.0,0.18181818181818177,0.4130434782608696,0.08064516129032262,0.17842753339857154,2
0.0,0.5454545454545455,0.8695652173913047,0.7903225806451614,0.6710674317420361,3
0.0,0.6363636363636364,0.7173913043478262,0.7096774193548386,0.7052890615831541,3
0.0,0.5757575757575758,0.7608695652173916,0.27419354838709675,0.21499210231649468,2
1.0,0.48484848484848486,0.6521739130434785,0.5161290322580644,0.5433520785229026,0
1.0,0.36363636363636365,0.7391304347826089,0.20967741935483875,0.15802395489216803,2
0.0,0.18181818181818177,0.8695652173913047,0.3870967741935484,0.2723688316513452,2
0.0,0.9090909090909091,0.6304347826086958,0.4354838709677419,0.46835670640829996,2
1.0,0.21212121212121215,0.5217391304347827,0.3709677419354839,0.4688027635066362,2
1.0,0.09090909090909094,0.0,0.016129032258064502,0.3504459402232888,2
1.0,0.36363636363636365,0.43478260869565233,0.33870967741935487,0.4917733765753419,0
0.0,0.09090909090909094,0.6086956521739131,0.25806451612903225,0.2811228237228912,2
1.0,0.3030303030303031,0.5869565217391308,0.6612903225806451,0.7591256781077452,3
1.0,0.33333333333333337,0.47826086956521774,0.27419354838709675,0.38112269426750667,2
1.0,0.5757575757575758,0.6956521739130435,0.6612903225806451,0.6702119645603722,3
0.0,0.2727272727272727,0.7826086956521743,0.9354838709677419,0.8885721688095342,3
0.0,0.21212121212121215,1.0,0.5483870967741936,0.3549032510536544,2
0.0,0.21212121212121215,0.8695652173913047,0.7580645161290321,0.6391715437347808,3
0.0,0.4242424242424242,0.5869565217391308,0.7903225806451614,0.9080071855337767,3
0.0,0.787878787878788,0.6521739130434785,0.4193548387096774,0.4357144399309255,2
0.0,0.33333333333333337,0.7608695652173916,0.6290322580645161,0.5867888937505473,3
1.0,0.3030303030303031,0.7608695652173916,0.27419354838709675,0.21499210231649468,2
1.0,0.3030303030303031,0.47826086956521774,0.33870967741935487,0.4603803980463369,2
0.0,0.3939393939393939,0.7173913043478262,0.4838709677419354,0.4630242872224909,2
2.0,0.48484848484848486,0.5869565217391308,0.27419354838709675,0.31248115582965064,2
0.0,0.4545454545454546,0.6086956521739131,0.5322580645161291,0.5936260548150906,3
1.0,0.6969696969696969,0.8260869565217392,0.4193548387096774,0.32874214141511227,2
0.0,1.0,0.8260869565217392,0.7580645161290321,0.6714372360501827,3
1.0,0.33333333333333337,0.6956521739130435,0.7419354838709676,0.7577744058653842,3
1.0,0.18181818181818177,0.1304347826086958,0.29032258064516125,0.6765550774806218,3
1.0,0.5151515151515151,0.7173913043478262,0.5322580645161291,0.5149381674426331,0
1.0,0.4242424242424242,0.7608695652173916,0.6612903225806451,0.6205886020627339,3
1.0,0.5757575757575758,0.9347826086956523,0.5322580645161291,0.37698833086893135,2
1.0,0.48484848484848486,0.8913043478260874,0.25806451612903225,0.13466541949398914,1
1.0,0.3030303030303031,0.7391304347826089,0.4193548387096774,0.380329728725166,2
1.0,0.2727272727272727,0.36956521739130466,0.22580645161290325,0.39323055721277067,2
1.0,0.36363636363636365,0.8913043478260874,0.5967741935483871,0.465777296022044,2
1.0,0.24242424242424243,0.7173913043478262,0.11290322580645162,0.06501787220140187,4
0.0,0.12121212121212122,0.21739130434782616,0.4193548387096774,0.7848648300366491,3
0.0,0.48484848484848486,0.5217391304347827,0.4999999999999999,0.6233554426288531,3
1.0,0.33333333333333337,0.4130434782608696,0.6129032258064516,0.8580274199167947,3
0.0,0.3939393939393939,0.7826086956521743,0.17741935483870963,0.10354183810191364,1
0.0,0.1515151515151515,0.1739130434782612,0.29032258064516125,0.6369777168248,3
0.0,0.18181818181818177,0.5217391304347827,0.032258064516129004,0.0631019808108163,4
0.0,0.4545454545454546,0.43478260869565233,0.7419354838709676,0.9999999999999999,3
0.0,0.36363636363636365,0.5652173913043481,0.5483870967741936,0.6460149904055247,3
0.0,0.2727272727272727,0.21739130434782616,0.32258064516129037,0.645486246889606,3
0.0,0.3030303030303031,0.8043478260869565,0.5967741935483871,0.5229026008421896,0
0.0,0.030303030303030276,0.21739130434782616,0.0,0.18089096973279617,2
0.0,0.4545454545454546,0.7391304347826089,0.4516129032258064,0.41453061700716554,2
0.0,0.9393939393939393,0.6956521739130435,0.3870967741935484,0.372499664123331,2
0.0,0.4545454545454546,0.6304347826086958,0.3709677419354839,0.39572050993133734,2
0.0,0.5454545454545455,0.7608695652173916,0.32258064516129037,0.2656916647847746,2
0.0,0.4545454545454546,0.34782608695652195,0.4999999999999999,0.7725464635261824,3
1.0,0.1515151515151515,0.39130434782608736,0.33870967741935487,0.5244054814953386,0
1.0,0.3939393939393939,0.1304347826086958,0.32258064516129037,0.7256879968620508,3
1.0,0.2727272727272727,0.8043478260869565,0.5645161290322581,0.48988436225977383,0
0.0,0.33333333333333337,0.6086956521739131,0.7096774193548386,0.7958340278747488,3
0.0,0.21212121212121215,0.2608695652173916,0.29032258064516125,0.5626141798897023,0
1.0,0.36363636363636365,0.8695652173913047,0.5322580645161291,0.415900327683994,2
1.0,0.2727272727272727,0.45652173913043503,0.5645161290322581,0.7568957590800997,3
1.0,0.3939393939393939,0.8260869565217392,0.7741935483870969,0.6877560500804242,3
1.0,0.24242424242424243,0.6086956521739131,0.33870967741935487,0.3730355387500087,2
1.0,0.24242424242424243,0.8260869565217392,0.4677419354838709,0.3776985835058365,2
1.0,0.2727272727272727,0.5652173913043481,0.5322580645161291,0.6271729015543576,3
1.0,0.4545454545454546,0.8260869565217392,0.7258064516129031,0.6387996079896997,3
0.0,0.36363636363636365,0.5869565217391308,0.5161290322580644,0.5916339822534599,3
0.0,0.18181818181818177,0.36956521739130466,0.4032258064516129,0.6257644749855401,3
0.0,0.5757575757575758,0.8695652173913047,0.6612903225806451,0.5434838797130151,0
1.0,0.4242424242424242,0.5869565217391308,0.5645161290322581,0.6474645475382216,3
1.0,0.2727272727272727,0.9130434782608696,0.3709677419354839,0.2338436201815074,2
0.0,0.2727272727272727,0.47826086956521774,0.5161290322580644,0.6783390834381199,3
0.0,0.48484848484848486,0.6739130434782612,0.6451612903225806,0.6696298249447866,3
0.0,0.3939393939393939,0.8260869565217392,0.4354838709677419,0.34506095544535353,2
1.0,0.21212121212121215,0.5,0.4677419354838709,0.6016443015217899,3
0.0,0.33333333333333337,0.39130434782608736,0.5806451612903226,0.8373657436452148,3
1.0,0.36363636363636365,0.7608695652173916,0.3548387096774194,0.29949137309696117,2
0.0,0.2727272727272727,0.5652173913043481,0.6129032258064516,0.721383345810192,3
1.0,0.3030303030303031,0.5869565217391308,0.5645161290322581,0.6474645475382216,3
0.0,0.18181818181818177,0.39130434782608736,0.29032258064516125,0.4618134290653634,2
0.0,0.48484848484848486,0.6086956521739131,0.5161290322580644,0.5752435118096669,3
0.0,0.33333333333333337,0.8695652173913047,0.5806451612903226,0.4637441596948767,2
0.0,0.7272727272727272,0.7826086956521743,0.5161290322580644,0.454300070971276,2
1.0,0.48484848484848486,0.6521739130434785,0.12903225806451613,0.11280152415499378,1
1.0,0.36363636363636365,0.7608695652173916,0.27419354838709675,0.21499210231649468,2
0.0,0.8484848484848485,0.6739130434782612,0.6774193548387096,0.7050780601829268,3
0.0,0.5151515151515151,0.7173913043478262,0.6774193548387096,0.6706798081030593,3
0.0,0.24242424242424243,0.8043478260869565,0.5967741935483871,0.5229026008421896,0
1.0,0.5757575757575758,0.5652173913043481,0.6774193548387096,0.7967517012148594,3
1.0,0.6363636363636364,0.5869565217391308,0.4999999999999999,0.5730237938252057,3
0.0,0.7272727272727272,0.847826086956522,0.4354838709677419,0.3325297060270326,2
0.0,0.48484848484848486,0.6956521739130435,0.4354838709677419,0.4250371289063385,2
0.0,0.787878787878788,0.8695652173913047,0.3548387096774194,0.24047294364409,2
1.0,0.3939393939393939,0.5217391304347827,0.14516129032258063,0.19833557504275623,2
0.0,0.6969696969696969,0.5869565217391308,0.6935483870967741,0.796346054964253,3
1.0,0.8484848484848485,0.7608695652173916,0.9999999999999999,0.9754855393406933,3
1.0,0.3939393939393939,0.5,0.22580645161290325,0.30817823932556976,2
1.0,0.4242424242424242,0.6304347826086958,0.5161290322580644,0.5591519520045031,0
0.0,0.5454545454545455,0.847826086956522,0.7580645161290321,0.6551653151637064,3
0.0,0.5454545454545455,0.9782608695652177,0.16129032258064513,0.0054130467634608825,4
1.0,0.7575757575757577,0.7391304347826089,0.8064516129032259,0.7907403881091623,3
1.0,0.21212121212121215,0.6739130434782612,0.4032258064516129,0.4037680606587347,2
1.0,0.6969696969696969,0.5869565217391308,0.7096774193548386,0.8149562433925072,3
1.0,0.24242424242424243,0.6956521739130435,0.33870967741935487,0.31996219934032377,2
0.0,0.8181818181818182,0.9130434782608696,0.30645161290322576,0.1714853214664388,2
0.0,0.5454545454545455,0.6739130434782612,0.7096774193548386,0.7405262954210673,3
1.0,0.6969696969696969,0.847826086956522,0.5967741935483871,0.4938475105953696,0
1.0,0.6060606060606061,0.45652173913043503,0.6451612903225806,0.8572421153241613,3
1.0,0.4545454545454546,0.5869565217391308,0.5645161290322581,0.6474645475382216,3
0.0,0.6363636363636364,0.5217391304347827,0.3870967741935484,0.4881218483969133,0
1.0,0.48484848484848486,0.9130434782608696,0.5967741935483871,0.4520976656842476,2
0.0,0.8484848484848485,0.6956521739130435,0.7096774193548386,0.7227494293433795,3
1.0,0.6060606060606061,0.47826086956521774,0.19354838709677413,0.28205056454396893,2
0.0,0.6363636363636364,0.5217391304347827,0.7419354838709676,0.9131417159830105,3
0.0,0.18181818181818177,0.5869565217391308,0.5967741935483871,0.6846849243947294,3
0.0,0.8787878787878788,0.8695652173913047,0.6451612903225806,0.5275359357093875,0
0.0,0.48484848484848486,0.6739130434782612,0.17741935483870963,0.15563041399175281,2
1.0,0.24242424242424243,0.956521739130435,0.30645161290322576,0.15104629480979126,1
1.0,0.21212121212121215,0.7391304347826089,0.24193548387096775,0.19222484317416766,2
1.0,0.787878787878788,0.9130434782608696,0.12903225806451613,0.0,4
1.0,0.1515151515151515,0.7173913043478262,0.4032258064516129,0.37650115352225433,2
1.0,0.21212121212121215,0.5217391304347827,0.14516129032258063,0.19833557504275623,2
0.0,0.8787878787878788,0.8695652173913047,0.19354838709677413,0.08099350360781354,4
0.0,0.18181818181818177,0.956521739130435,0.3548387096774194,0.19677574630422923,2
0.0,0.5757575757575758,0.8043478260869565,0.24193548387096775,0.15970197643561446,2
0.0,0.36363636363636365,0.7173913043478262,0.5483870967741936,0.5322427941826805,0
0.0,0.21212121212121215,0.47826086956521774,0.5806451612903226,0.7575967872169501,3
1.0,0.18181818181818177,0.5434782608695654,0.25806451612903225,0.32008807034969966,2
0.0,0.5454545454545455,0.5217391304347827,0.7580645161290321,0.9324608008732874,3
1.0,0.787878787878788,0.8260869565217392,0.19354838709677413,0.10027874499173184,1
0.0,0.48484848484848486,0.6739130434782612,0.6612903225806451,0.6873539425638567,3
1.0,0.18181818181818177,0.6739130434782612,0.14516129032258063,0.12018217875361259,1
0.0,0.1515151515151515,0.5,0.4193548387096774,0.5429510890825459,0
0.0,0.8181818181818182,0.8695652173913047,0.7580645161290321,0.6391715437347808,3
0.0,0.48484848484848486,0.956521739130435,0.7903225806451614,0.6083408097541715,3
1.0,0.18181818181818177,0.8695652173913047,0.19354838709677413,0.08099350360781354,4
1.0,0.8484848484848485,0.847826086956522,0.6129032258064516,0.5099792910522031,0
1.0,0.21212121212121215,0.6304347826086958,0.8387096774193549,0.9223329343893162,3
1.0,0.5454545454545455,0.8043478260869565,0.8548387096774194,0.7870485095015173,3
0.0,0.8181818181818182,0.47826086956521774,0.6451612903225806,0.8368544909957804,3
1.0,0.8787878787878788,0.5869565217391308,0.25806451612903225,0.29387096740139695,2
0.0,0.787878787878788,0.9782608695652177,0.16129032258064513,0.0054130467634608825,4
1.0,0.2727272727272727,0.7391304347826089,0.7419354838709676,0.7223386115451628,3
1.0,0.7575757575757577,0.7608695652173916,0.8064516129032259,0.7726872894675737,3
1.0,0.6666666666666666,0.5217391304347827,0.5483870967741936,0.6813126972996847,3
1.0,0.18181818181818177,0.9347826086956523,0.5161290322580644,0.36157342791756475,2
0.0,0.18181818181818177,0.847826086956522,0.25806451612903225,0.1550801210018622,1
0.0,0.4545454545454546,0.5217391304347827,0.12903225806451613,0.1790164901524791,2
0.0,0.4545454545454546,0.8695652173913047,0.29032258064516125,0.1766811676295793,2
0.0,0.787878787878788,0.956521739130435,0.6612903225806451,0.4863956057690034,0
0.0,0.36363636363636365,0.7608695652173916,0.7258064516129031,0.6881880186871071,3
1.0,0.7272727272727272,0.6521739130434785,0.5806451612903226,0.6151105042508874,3
1.0,0.6363636363636364,0.7173913043478262,0.17741935483870963,0.13423637916159126,1
1.0,0.6969696969696969,0.9347826086956523,0.5967741935483871,0.43864794267439733,2
1.0,0.48484848484848486,0.47826086956521774,0.5161290322580644,0.6783390834381199,3
1.0,0.5454545454545455,0.7173913043478262,0.6612903225806451,0.6533751813630119,3
0.0,0.6969696969696969,0.5652173913043481,0.6612903225806451,0.7779096123636925,3
1.0,0.2727272727272727,0.8695652173913047,0.5806451612903226,0.4637441596948767,2
0.0,0.2727272727272727,0.6304347826086958,0.8225806451612904,0.9041738852700755,3
1.0,0.3030303030303031,0.8260869565217392,0.7258064516129031,0.6387996079896997,3
0.0,0.787878787878788,0.9347826086956523,0.3709677419354839,0.2228393013552663,2
0.0,0.4545454545454546,0.7608695652173916,0.25806451612903225,0.19809224816040139,2
0.0,0.7575757575757577,0.7173913043478262,0.24193548387096775,0.20345488612178075,2
1.0,0.4242424242424242,0.45652173913043503,0.3870967741935484,0.5361337753431642,0
0.0,0.3939393939393939,0.6521739130434785,0.7419354838709676,0.7945065685708493,3
1.0,0.8181818181818182,0.9347826086956523,0.7096774193548386,0.5465522633339629,0
1.0,0.2727272727272727,0.6521739130434785,0.5161290322580644,0.5433520785229026,0
0.0,0.6363636363636364,0.5,0.33870967741935487,0.4451290683504726,2
0.0,0.8181818181818182,0.956521739130435,0.33870967741935487,0.18153259580608316,2
0.0,0.3939393939393939,0.5434782608695654,0.27419354838709675,0.3391664213306017,2
0.0,0.1515151515151515,0.9347826086956523,0.5967741935483871,0.43864794267439733,2
1.0,0.7272727272727272,0.6739130434782612,0.6129032258064516,0.6341815897066464,3
0.0,0.1515151515151515,0.45652173913043503,0.4193548387096774,0.5762723178407888,3
1.0,0.8787878787878788,0.5652173913043481,0.7903225806451614,0.9286463231730274,3
1.0,0.4545454545454546,0.7391304347826089,0.16129032258064513,0.1067226224691683,1
1.0,0.8787878787878788,0.8043478260869565,0.3548387096774194,0.27526581147407014,2
1.0,0.3939393939393939,0.6086956521739131,0.6612903225806451,0.7406863988584783,3
0.0,0.36363636363636365,0.7173913043478262,0.5483870967741936,0.5322427941826805,0
0.0,0.8787878787878788,0.8695652173913047,0.6451612903225806,0.5275359357093875,0
1.0,0.2727272727272727,0.6521739130434785,0.5161290322580644,0.5433520785229026,0
1.0,0.4242424242424242,0.6304347826086958,0.5161290322580644,0.5591519520045031,0
0.0,0.787878787878788,0.956521739130435,0.6612903225806451,0.4863956057690034,0
1.0,0.1515151515151515,0.39130434782608736,0.33870967741935487,0.5244054814953386,0
1.0,0.8181818181818182,0.9347826086956523,0.7096774193548386,0.5465522633339629,0
1.0,0.6969696969696969,0.847826086956522,0.5967741935483871,0.4938475105953696,0
